lat,lon,wind_value,year,month
59.75,82.25,15,2021,апрель
59.75,82.5,15.8,2021,апрель
59.75,82.75,16,2021,апрель
59.75,83,16,2021,апрель
59.75,83.25,16.2,2021,апрель
59.75,83.5,15.6,2021,апрель
59.75,83.75,15.6,2021,апрель
59.75,84,17.4,2021,апрель
59.75,84.25,16.4,2021,апрель
59.75,84.5,14.8,2021,апрель
59.75,84.75,15.4,2021,апрель
59.75,85,16,2021,апрель
59.75,85.25,16.2,2021,апрель
59.75,85.5,16,2021,апрель
59.75,85.75,16.2,2021,апрель
59.75,86,17,2021,апрель
59.75,86.25,18.4,2021,апрель
59.75,86.5,19.4,2021,апрель
59.75,86.75,19.4,2021,апрель
59.75,87,18.8,2021,апрель
59.75,87.25,18,2021,апрель
59.75,87.5,17.6,2021,апрель
59.75,87.75,17.8,2021,апрель
59.75,88,17.4,2021,апрель
59.75,88.25,17.4,2021,апрель
59.75,88.5,17.4,2021,апрель
59.75,88.75,17,2021,апрель
59.75,89,16.4,2021,апрель
59.75,89.25,16,2021,апрель
59.75,89.5,16.2,2021,апрель
59.75,89.75,15,2021,апрель
59.75,90,14.2,2021,апрель
59.75,90.25,14.4,2021,апрель
59.75,90.5,15.2,2021,апрель
59.75,90.75,15.2,2021,апрель
59.75,91,14.4,2021,апрель
59.75,91.25,14.6,2021,апрель
59.75,91.5,13.2,2021,апрель
59.75,91.75,12.6,2021,апрель
59.75,92,12.2,2021,апрель
59.75,92.25,12.6,2021,апрель
59.75,92.5,13,2021,апрель
59.75,92.75,13.2,2021,апрель
59.75,93,13.2,2021,апрель
59.75,93.25,12.8,2021,апрель
59.75,93.5,13.4,2021,апрель
59.75,93.75,13.2,2021,апрель
59.75,94,11,2021,апрель
59.75,94.25,9.2,2021,апрель
59.75,94.5,9.2,2021,апрель
59.75,94.75,10.4,2021,апрель
59.75,95,11.4,2021,апрель
59.75,95.25,12,2021,апрель
59.75,95.5,11.4,2021,апрель
59.75,95.75,11,2021,апрель
59.75,96,10.6,2021,апрель
59.75,96.25,11,2021,апрель
59.75,96.5,9.4,2021,апрель
59.75,96.75,8.2,2021,апрель
59.75,97,8.4,2021,апрель
59.75,97.25,8,2021,апрель
59.75,97.5,9,2021,апрель
59.75,97.75,11.4,2021,апрель
59.75,98,14.6,2021,апрель
59.75,98.25,15.6,2021,апрель
59.75,98.5,16.8,2021,апрель
59.75,98.75,12.2,2021,апрель
59.75,99,8.6,2021,апрель
59.75,99.25,7.6,2021,апрель
59.75,99.5,5.8,2021,апрель
59.75,99.75,6.8,2021,апрель
59.75,100,8,2021,апрель
59.75,100.25,7.8,2021,апрель
59.75,100.5,8,2021,апрель
59.75,100.75,7.6,2021,апрель
59.75,101,7.6,2021,апрель
59.75,101.25,7.6,2021,апрель
59.75,101.5,6.8,2021,апрель
59.75,101.75,7,2021,апрель
59.75,102,7.8,2021,апрель
59.75,102.25,8.4,2021,апрель
59.75,102.5,8.6,2021,апрель
59.75,102.75,9.8,2021,апрель
59.75,103,13.4,2021,апрель
59.75,103.25,17,2021,апрель
59.75,103.5,18.8,2021,апрель
59.75,103.75,21,2021,апрель
59.75,104,16,2021,апрель
59.75,104.25,12.6,2021,апрель
59.75,104.5,11.4,2021,апрель
59.75,104.75,12,2021,апрель
59.75,105,13,2021,апрель
59.75,105.25,14.6,2021,апрель
59.75,105.5,14.2,2021,апрель
59.75,105.75,12.6,2021,апрель
59.75,106,11.4,2021,апрель
59.75,106.25,9.8,2021,апрель
59.75,106.5,9.2,2021,апрель
59.75,106.75,10.4,2021,апрель
59.75,107,12.8,2021,апрель
59.75,107.25,17,2021,апрель
59.75,107.5,22.6,2021,апрель
59.75,107.75,15.4,2021,апрель
59.75,108,11.2,2021,апрель
59.75,108.25,13.4,2021,апрель
59.75,108.5,20.4,2021,апрель
59.75,108.75,21.6,2021,апрель
59.75,109,22.4,2021,апрель
59.75,109.25,20.2,2021,апрель
59.75,109.5,17.2,2021,апрель
59.75,109.75,16,2021,апрель
59.75,110,16.2,2021,апрель
59.75,110.25,15.8,2021,апрель
59.75,110.5,17,2021,апрель
59.75,110.75,16.6,2021,апрель
59.75,111,13.4,2021,апрель
59.75,111.25,11,2021,апрель
59.75,111.5,12.4,2021,апрель
59.75,111.75,14,2021,апрель
59.75,112,17,2021,апрель
59.75,112.25,21.8,2021,апрель
59.75,112.5,24.6,2021,апрель
59.75,112.75,27.2,2021,апрель
59.75,113,28.2,2021,апрель
59.75,113.25,27.4,2021,апрель
59.75,113.5,24,2021,апрель
59.75,113.75,17.4,2021,апрель
59.75,114,13.6,2021,апрель
59.75,114.25,13,2021,апрель
59.75,114.5,14.2,2021,апрель
59.75,114.75,17.6,2021,апрель
59.75,115,21,2021,апрель
59.75,115.25,20.2,2021,апрель
59.75,115.5,19.4,2021,апрель
59.75,115.75,17.6,2021,апрель
59.75,116,17,2021,апрель
59.75,116.25,17.8,2021,апрель
59.75,116.5,19.8,2021,апрель
59.75,116.75,22,2021,апрель
59.75,117,24,2021,апрель
59.75,117.25,23.8,2021,апрель
59.75,117.5,22.2,2021,апрель
59.75,117.75,21.8,2021,апрель
59.75,118,22.6,2021,апрель
59.75,118.25,23,2021,апрель
59.75,118.5,24,2021,апрель
59.75,118.75,25.6,2021,апрель
59.75,119,23.6,2021,апрель
59.75,119.25,22.8,2021,апрель
59.75,119.5,22,2021,апрель
59.75,119.75,21.8,2021,апрель
59.75,120,22.2,2021,апрель
59.75,120.25,22.8,2021,апрель
59.75,120.5,22.8,2021,апрель
59.75,120.75,23.2,2021,апрель
59.75,121,23.2,2021,апрель
59.75,121.25,23.8,2021,апрель
59.75,121.5,24.4,2021,апрель
59.75,121.75,22.8,2021,апрель
59.75,122,22.8,2021,апрель
59.75,122.25,23.6,2021,апрель
59.75,122.5,24,2021,апрель
59.75,122.75,24,2021,апрель
59.75,123,24.2,2021,апрель
59.75,123.25,24.2,2021,апрель
59.75,123.5,23.4,2021,апрель
59.75,123.75,22.2,2021,апрель
59.75,124,22.6,2021,апрель
59.75,124.25,20.2,2021,апрель
59.75,124.5,17.4,2021,апрель
59.75,124.75,16.6,2021,апрель
59.75,125,15.2,2021,апрель
59.75,125.25,14.8,2021,апрель
59.75,125.5,14.4,2021,апрель
